,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
71,,,0.9335633516311646,1e-05,,,"[[8.09298480e+01 1.09886311e+01 8.04862976e+00]
 [0.00000000e+00 1.78019206e-02 1.50892470e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.80956476 0.0016152  0.        ],[0.89476185 0.00322518 0.        ],[1.         0.00161741 0.        ],[0.80956476 0.54123711        nan],[1.         0.89007753 0.91936281],[0.80956476 0.54123711        nan],,,,,,
72,0.9063567519187927,,,,,,,,,,,,,,,,,,,,,,,,,
73,,0.9063567519187927,,1e-05,,"[[8.24271025e+01 1.02249569e+01 7.28361342e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.8248016  0.00625185 0.        ],[0.90399044 0.01242602 0.        ],[1.         0.00625185 0.        ],[0.8248016 1.              nan],[1.         0.89768461 0.92716387],[0.8248016 1.              nan],,,,,,,,,,,,
74,,,0.933234453201294,1e-05,,,"[[8.12274509e+01 1.08678888e+01 7.87176909e+00]
 [0.00000000e+00 1.77595350e-02 1.51316325e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.81254176 0.0016292  0.        ],[0.89657715 0.0032531  0.        ],[1.         0.00163146 0.        ],[0.81254176 0.53994845        nan],[1.         0.89128535 0.92113099],[0.81254176 0.53994845        nan],,,,,,
75,0.9063423871994019,,,,,,,,,,,,,,,,,,,,,,,,,
76,,0.9063423871994019,,1e-05,,"[[8.24435340e+01 1.02124815e+01 7.27965743e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.82496602 0.00625944 0.        ],[0.90408918 0.01244101 0.        ],[1.         0.00625944 0.        ],[0.82496602 1.                nan],[1.         0.89780945 0.92720343],[0.82496602 1.                nan],,,,,,,,,,,,
77,,,0.9329454898834229,1e-05,,,"[[8.14876980e+01 1.07561182e+01 7.72329260e+00]
 [0.00000000e+00 1.78019206e-02 1.50892470e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.81514509 0.00165001 0.        ],[0.89815971 0.00329457 0.        ],[1.         0.00165232 0.        ],[0.81514509 0.54123711        nan],[1.         0.89240343 0.92261618],[0.81514509 0.54123711        nan],,,,,,
78,0.906328022480011,,,,,,,,,,,,,,,,,,,,,,,,,
79,,0.906328022480011,,1.0000000000000002e-06,,"[[8.24600926e+01 1.02008678e+01 7.27471246e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.82513171 0.00626652 0.        ],[0.90418867 0.012455   0.        ],[1.         0.00626652 0.        ],[0.82513171 1.                nan],[1.         0.89792566 0.92725288],[0.82513171 1.                nan],,,,,,,,,,,,
80,,,0.9326879382133484,1.0000000000000002e-06,,,"[[8.17114371e+01 1.06623614e+01 7.59331032e+00]
 [0.00000000e+00 1.78866916e-02 1.50044759e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.81738322 0.0016724  0.        ],[0.89951663 0.00333921 0.        ],[1.         0.00167474 0.        ],[0.81738322 0.54381443        nan],[1.         0.8933413  0.92391685],[0.81738322 0.54381443        nan],,,,,,
81,0.9063265919685364,,,,,,,,,,,,,,,,,,,,,,,,,
